annotator,conclusion_id,conclusion_sentence,conclusion,premise_1_id,premise_1_sentence,premise_1,premise_2_id,premise_2_sentence,premise_2,premise_3_id,premise_3_sentence,premise_3,premise_4_id,premise_4_sentence,premise_4,premise_5_id,premise_5_sentence,premise_5,premise_6_id,premise_6_sentence,premise_6,premise_7_id,premise_7_sentence,premise_7,premise_8_id,premise_8_sentence,premise_8
MI,189,"Natomiast w sytuacji, gdy już jest w ciąży, jej prawa są ograniczone ze względu chociażby na to, że, że, że…","Aborcja nie powinna być legalna, występuje konflikt wartości.",188,"Zresztą jeżeli mówimy o prawie do swojego ciała, do decydowaniu o sobie kobiety — oczywiście, ja uważam, że kobieta, zresztą za panem profesorem chyba Andrzejem Zollem, tak mi się wydaje, że prezes Trybunału Konstytucyjnego w przeszłości miał podobne, wyraził podobne zdanie, że kobieta jak najbardziej ma pełne prawo do stanowienia o samej sobie, ale w sytuacji na przykład przyjmowania antykoncepcji czy decydowaniu o tym, żeby nie zajść w ciążę.","Kobieta ma pełne prawo do stanowienia o samej sobie, ale w sytuacji na przykład przyjmowania antykoncepcji czy decydowaniu o tym, żeby nie zajść w ciążę.",192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Występuje konflikt dóbr.,193,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,Dziecku przysługują pewne prawa od poczęcia.,,,,,,,,,,,,,,,
DZ,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Prawa kobiety w ciąży do decydowania o jej ciele są ograniczone.,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.","Dziecko, które jest w brzuchu kobiety ma prawo od urodzenia.",193,"Dziecko, które ma prawo od urodzenia, zresztą Kodeks Karny mówi o prawie tego dziecka.",Kodeks Karny mówi o prawie tego dziecka do urodzenia.,194,Kodeks Cywilny mówi o prawie tego dziecka.,Kodeks Cywilny mówi o prawie tego dziecka.,188,"Zresztą jeżeli mówimy o prawie do swojego ciała, do decydowaniu o sobie kobiety — oczywiście, ja uważam, że kobieta, zresztą za panem profesorem chyba Andrzejem Zollem, tak mi się wydaje, że prezes Trybunału Konstytucyjnego w przeszłości miał podobne, wyraził podobne zdanie, że kobieta jak najbardziej ma pełne prawo do stanowienia o samej sobie, ale w sytuacji na przykład przyjmowania antykoncepcji czy decydowaniu o tym, żeby nie zajść w ciążę.","Chyba Andrzej Zoll, prezes Trybunału Konstytucyjnego, w przeszłości wyraził podobne zdanie.",195,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,196,Kodeks rodzinny i opiekuńczy również mówi o prawie dziecka.,Kodeks rodzinny i opiekuńczy mówi o prawie dziecka.,199,"…jeśli chodzi o Kodeks Karny, do prawie ochrony życia od poczęcia.",Kodeks Karny mówi o prawie ochrony życia od poczęcia.,200,"Jakby tych przykładów jest na tyle dużo, że nie można mieć tutaj takich jednostronnych, jednostronnej pewności, że tak, tylko kobieta może sama o sobie stanowić.",Tych przykładów aktów prawnych jest bardzo dużo.
KW,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Dziecko w brzuchu ma swoje prawa,193,"Dziecko, które ma prawo od urodzenia, zresztą Kodeks Karny mówi o prawie tego dziecka.",Kodeks karny mówi o prawie dziecka w brzuchu,194,Kodeks Cywilny mówi o prawie tego dziecka.,Kodeks cywilny mówi o prawie dziecka,195,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,196,Kodeks rodzinny i opiekuńczy również mówi o prawie dziecka.,Kodeks rodzinny i opiekuńczy mówi o prawie dziecka w brzuchu,197,"Mówi, mówimy nawet o prawie do dziedziczenia, do ustanowienia kuratora, o prawie…","Mówi się o prawie do dziedziczenia, do ustanowienia kuratora",199,"…jeśli chodzi o Kodeks Karny, do prawie ochrony życia od poczęcia.",W kodeksie karnym jestm prawo do ochrony życia od poczęcia,,,,,,
WG,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Prawa kobiety w ciąży są ograniczone.,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Dziecko znajdujące się w brzuchu kobiety ma swoje prawa.,,,,,,,,,,,,,,,,,,,,,
WG,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.","Dziecko, które jest w brzuchu kobiety ma swoje prawa.",193,"Dziecko, które ma prawo od urodzenia, zresztą Kodeks Karny mówi o prawie tego dziecka.",Kodeks Karny mówi o prawie dziecka w brzuchu kobiety.,194,Kodeks Cywilny mówi o prawie tego dziecka.,Kodeks Cywilny mówi o prawie dziecka w brzuchu kobiety.,195,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,196,Kodeks rodzinny i opiekuńczy również mówi o prawie dziecka.,Kodeks rodzinny i opiekuńczy mówi o prawie dziecka.,,,,,,,,,,,,
MS,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Prawa kobiety są ograniczone.,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",Dziecko w brzuchu ma prawo do urodzenia.,193,"Dziecko, które ma prawo od urodzenia, zresztą Kodeks Karny mówi o prawie tego dziecka.",Kodeks Karny mówi o prawie dziecka do urodzenia.,194,Kodeks Cywilny mówi o prawie tego dziecka.,Kodeks Cywilny mówi o prawie dziecka do urodzenia.,195,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,196,Kodeks rodzinny i opiekuńczy również mówi o prawie dziecka.,Kodeks rodzinny i opiekuńczy mówi o prawie dziecka.,197,"Mówi, mówimy nawet o prawie do dziedziczenia, do ustanowienia kuratora, o prawie…","Kodeks rodzinny i opiekuńczy również mówi o prawie do dziedziczenia, do ustanowienia kuratora.",,,,,,
MI,200,"Jakby tych przykładów jest na tyle dużo, że nie można mieć tutaj takich jednostronnych, jednostronnej pewności, że tak, tylko kobieta może sama o sobie stanowić.","Nie możemy jednozdaniecznie określić granic, w których kobieta może sama o sobie stanowić.",201,Te granice zresztą nawet bardzo trudno określić.,Trudne te granice określić.,202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.",Sami państwo składają różne projekty ustaw związanych z aborcją.,,,,,,,,,,,,,,,,,,
DZ,201,Te granice zresztą nawet bardzo trudno określić.,Granice prawa do decydowania kobiety o sobie jest bardzo trudno określić.,202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.","Lewica i Koalicja obywatelska składają projekty ustaw związanych z aborcją, które są bardzo różne.",,,,,,,,,,,,,,,,,,,,,
KW,201,Te granice zresztą nawet bardzo trudno określić.,Bardzo trudno jest określić granicę dokonania aborcji,202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.","W Sejmie jest dużo projektów ustaw, które różnie definiują granice aborcji",203,"Jedni podają inne, każdy projekt podaje inne terminy jako ten dozwolony, to znaczy, że sama Lewica…",Partie polityczne podają różne terminy dokonania aborcji,,,,,,,,,,,,,,,,,,
WG,201,Te granice zresztą nawet bardzo trudno określić.,"Bardzo trudno określić granice, do którego tygodnia ciąży aborcja powinna być dozwolona.",202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.","Są cztery różne projekty ustawy związanej z aborcją, dwa  zaproponowane i przez Lewicę, i dwa przez Koalicję Obywatelską, które są bardzo różne.",203,"Jedni podają inne, każdy projekt podaje inne terminy jako ten dozwolony, to znaczy, że sama Lewica…",Każdy projekt podaje inny termin jako dozwolony.,205,"…ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy.","Sama Lewica ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy aborcja powinna być dozwolona.",,,,,,,,,,,,,,,
MS,201,Te granice zresztą nawet bardzo trudno określić.,Granice decydowania kobiety o swoim cielę są bardzo trudne do określenia.,200,"Jakby tych przykładów jest na tyle dużo, że nie można mieć tutaj takich jednostronnych, jednostronnej pewności, że tak, tylko kobieta może sama o sobie stanowić.","Przykładów dotyczących dyskusji aborcyjnej jest na tyle dużo, że nie można mieć jednostronnej pewności, że tylko kobieta może sama o sobie stanowić.",202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.",Sami państwo składają projekty ustawy związanej z aborcją które są bardzo różne,203,"Jedni podają inne, każdy projekt podaje inne terminy jako ten dozwolony, to znaczy, że sama Lewica…",Każdy projekt podaje inny termin jako ten dozwolony.,205,"…ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy.",Sama Lewica ma wątpliwości co do ustalenia pewnego czasu wykonania aborcji.,,,,,,,,,,,,
DZ,205,"…ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy.","Lewica ma wątpliwości, co do ustalenia pewnego czasu do kiedy, albo od kiedy kobieta ma prawo decydować w sprawie aborcji.",,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.","Lewica i Koalicja obywatelska składają projekty ustaw związanych z aborcją, które są bardzo różne.",203,"Jedni podają inne, każdy projekt podaje inne terminy jako ten dozwolony, to znaczy, że sama Lewica…",Każdy z tych projektów podaje inne terminy jako ten dozwolony.,,,,,,,,,,,,,,,,,,
HŁ,205,"…ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy.",Postulaty Lewicy są niejasne i niekonkretne.,202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.",Składane są bardzo różne projekty ustawy przez Lewicę i KO.,205,"…ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy.",Lewica ma wątpliwości.,,,,,,,,,,,,,,,,,,
ZP,208,"…Myślę, że ten kompromis jest dosyć trudny.",Kompromis w kwestii aborcji jest dosyć trudny.,209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.","Po jednej stronie mówi się o tym, że płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa.",209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.","Po drugiej stronie mówi się, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.",,,,,,,,,,,,,,,,,,
HŁ,208,"…Myślę, że ten kompromis jest dosyć trudny.",Kompromis jest trudny do uzyskania.,209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.","Dla mnie płód, dziecko od poczęcia  jest człowiekiem i ma swoje prawa, natomiast wy stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.",,,,,,,,,,,,,,,,,,,,,
WG,208,"…Myślę, że ten kompromis jest dosyć trudny.", Kompromis w sprawie aborcji pomiędzy dwiema stronami sporu jest trudny.,209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.","Po stronie  pro-life mówimy o tym, że płód  od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast państwo stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.",,,,,,,,,,,,,,,,,,,,,
ZP,209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.",Definiowanie dziecka jest sporne.,209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.","Jedni twierdzą, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa. ",209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.","Inni twierdzą, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.",,,,,,,,,,,,,,,,,,
DZ,211,"Ja może tylko szybciutko z punktu widzenia medycznego: do ósmego tygodnia jest zarodek, do, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.",Nie ma czegoś takiego jak dziecko od poczęcia.,211,"Ja może tylko szybciutko z punktu widzenia medycznego: do ósmego tygodnia jest zarodek, do, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.","Z punktu widzenia medycznego do ósmego tygodnia jest zarodek, do, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.",,,,,,,,,,,,,,,,,,,,,
WG,211,"Ja może tylko szybciutko z punktu widzenia medycznego: do ósmego tygodnia jest zarodek, do, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.","Nie jest prawdą, że trudno jest wyznaczyć granice między płodem a dzieckiem.",211,"Ja może tylko szybciutko z punktu widzenia medycznego: do ósmego tygodnia jest zarodek, do, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.","Z punktu widzenia medycznego granice są jasno wyznaczone: do ósmego tygodnia jest zarodek, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.",,,,,,,,,,,,,,,,,,,,,
HŁ,215,Może…,Z zarodka może nie powstać człowiek.,224,"Są różne zaburzenia ciąży, które niestety mogą się źle skończyć.","Są różne zaburzenia ciąży, które mogą się źle skończyć.",223,"Po zapłodnieniu… Nie, nie gatunek, tylko wcale nie musi od razu stać się płodem, a później różowym bobasem.","Zarodek nie musi od razu stać się płodem, a później różowym bobasem.",,,,,,,,,,,,,,,,,,
HŁ,223,"Po zapłodnieniu… Nie, nie gatunek, tylko wcale nie musi od razu stać się płodem, a później różowym bobasem.","Zarodek nie musi stać się płodem, a potem różowym bobasem.",224,"Są różne zaburzenia ciąży, które niestety mogą się źle skończyć.","Są różne zaburzenia ciąży, które mogą się źle skończyć.",,,,,,,,,,,,,,,,,,,,,
MI,223,"Po zapłodnieniu… Nie, nie gatunek, tylko wcale nie musi od razu stać się płodem, a później różowym bobasem.",Nie każda ciąża kończy się płodem a później żywym urodzeniem.,224,"Są różne zaburzenia ciąży, które niestety mogą się źle skończyć.","Istnieją zaburzenia ciąży, które mogą spowodować, że do żywego urodzenia nie dojdzie.",228,"Tak, ale mamy zarodek, on jest ludzkim zarodkiem, ale nie stanie się dzieckiem.","Możliwy jest przypadek, że ludzki zarodem nie stanie się dzieckiem.",,,,,,,,,,,,,,,,,,
HŁ,246,"Pani profesor była w sumie blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.",Aborcja na życzenie powinna być legalna.,246,"Pani profesor była w sumie blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.",Na kobiety nie powinno wywierać się nacisków.,251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.",Każdy powinien mieć prawo do podejmowania decyzji.,,,,,,,,,,,,,,,,,,
DZ,248,"No więc właśnie może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.","Powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje, czy chcą usunąć ciążę, czy chcą ją kontynuować.",246,"Pani profesor była w sumie blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.","To jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.",247,"Pani powiedziała coś takiego, że bardzo, z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.","Z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.",249,"Może to jest rozwiązanie, bo się pewnie nie zgodzimy co do tego, i nie ma też przymusu przerywania ciąży.",Pewnie się nie zgodzimy co do tego.,249,"Może to jest rozwiązanie, bo się pewnie nie zgodzimy co do tego, i nie ma też przymusu przerywania ciąży.",Nie ma też przymusu przerywania ciąży.,250,"Jeżeli ktoś uważa, że to jest życie święte od poczęcia — ja to rozumiem, są różne religie, są różne przekonania, ale to ta osoba może kontynuować tę ciążę.","Jeżeli ktoś uważa, że to jest życie święte od poczęcia, to ta osoba może kontynuować tę ciążę.",251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.","są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań.",,,,,,
KW,248,"No więc właśnie może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.","Powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było nacisków na dokonanie aborcji",247,"Pani powiedziała coś takiego, że bardzo, z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.","Z badań wyszło, że były naciski na podjęcie decyzji o aborcji",249,"Może to jest rozwiązanie, bo się pewnie nie zgodzimy co do tego, i nie ma też przymusu przerywania ciąży.",Nie ma przymusu przerywania ciąży,251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.","Nie wszyscy twierdzą, że płód jest od poczęcia",,,,,,,,,,,,,,,
MI,248,"No więc właśnie może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.","Powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.",247,"Pani powiedziała coś takiego, że bardzo, z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.","Z badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje o podjęciu aborcji wpływem nacisków.",,,,,,,,,,,,,,,,,,,,,
WG,248,"No więc właśnie może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.","To kobiety powinny podejmować decyzję czy chcą usunąć ciążę, czy chcą ją kontynuować.",246,"Pani profesor była w sumie blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.","Pani profesor była blisko zgodzenia się ze mną, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.",247,"Pani powiedziała coś takiego, że bardzo, z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.","Pani powiedziała, że z badań prowadzonych przez pani doktorantkę wyszło,  że  kobiety podejmowały decyzję  pod wpływem nacisków.",249,"Może to jest rozwiązanie, bo się pewnie nie zgodzimy co do tego, i nie ma też przymusu przerywania ciąży.",Strony sporu się nie zgodzą  i nie ma przymusu przerywania ciąży.,250,"Jeżeli ktoś uważa, że to jest życie święte od poczęcia — ja to rozumiem, są różne religie, są różne przekonania, ale to ta osoba może kontynuować tę ciążę.","Jeśli ktoś uważa, że  życie jest święte od poczęcia, to może kontynuować ciążę.",251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.",Inni ludzie nie muszą podzielać antyaborcyjnych przekonań i powinni oni mieć prawo do podjęcia decyzji bez wpływów zewnętrznych.,,,,,,,,,
MS,248,"No więc właśnie może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.","Może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować",247,"Pani powiedziała coś takiego, że bardzo, z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.","Pani powiedziała, że z badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że kobiety podejmowały te decyzje pod wpływem nacisków.",246,"Pani profesor była w sumie blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.","Pani profesor była blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że ona powinna podjąć tę decyzję.",,,,,,,,,,,,,,,,,,
MI,250,"Jeżeli ktoś uważa, że to jest życie święte od poczęcia — ja to rozumiem, są różne religie, są różne przekonania, ale to ta osoba może kontynuować tę ciążę.",Doniesienie ciąży z zaburzeniami powinno być takim samym prawem jak jej przerwanie.,251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.","Są różne religie i przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia decyzji  o terminacji ciąży samodzielnie.",,,,,,,,,,,,,,,,,,,,,
MS,251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.","Oni powinni mieć prawo do podjęcia tej decyzji, bez zewnętrznych wpływów.",250,"Jeżeli ktoś uważa, że to jest życie święte od poczęcia — ja to rozumiem, są różne religie, są różne przekonania, ale to ta osoba może kontynuować tę ciążę.","Są różne religie, są różne przekonani.",251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.","Są inne religie, inne przekonania, są ludzie, którzy nie wyznają żadnej religii.",,,,,,,,,,,,,,,,,,
DZ,257,"Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju, więc o autonomii możemy mówić, jeżeli płód staje się noworodkiem.","To stworzenie, które kobieta nosi w sobie, nie jest autonomiczną jednostką.",257,"Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju, więc o autonomii możemy mówić, jeżeli płód staje się noworodkiem.","Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju.",,,,,,,,,,,,,,,,,,,,,
KW,257,"Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju, więc o autonomii możemy mówić, jeżeli płód staje się noworodkiem.",Płód nie jest autonomiczny,257,"Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju, więc o autonomii możemy mówić, jeżeli płód staje się noworodkiem.",Płód potrzebuje kobiety do rozwoju,257,"Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju, więc o autonomii możemy mówić, jeżeli płód staje się noworodkiem.",Nowodorek jest autonomiczny,,,,,,,,,,,,,,,,,,
